Company_Name,Founded,HeadQuarter,Industry,About_Company,Founders,Investor,Amount,Round/Series
Udacity,2011,California,EdTech,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",75000000,Debt
AjnaLens,2014,Thane,AR/VR startup,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.","Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",1000000,Bridge
Gully Network,2019,Bangalore,E-commerce,Gully Network is a tech-enabled network of mid-sized grocery stores.,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",1200000,Pre-series A
TurboHire,2018,Hyderabad,Recruitment startup,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",1000000,Seed
Freshokartz,2016,"Jaipur, Rajastan",AgriTech,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000,Pre-series A
FlexiLoans,2016,Mumbai,FinTech,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.","Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,6000000,Debt
FreshtoHome,2015,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,"Ascent Capital, Iron Pillar",121000000,Series C
Railofy,2019,Mumbai,Transportation,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",5000000,Seed
Teachmint,2020,Bangalore,Edtech,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,3500000,Seed
Janani,2020,Bangalore,Fertility tech,Janani aims to make the process of infertility treatment and assisted fertilisation easier,Nilay Mehrotra,9Unicorns,200000,Pre-seed
Credgenics,2018,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",3300000,Seed
Jumbotail,2015,Bangalore,E-commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000,Series B2
mCaffeine,2015,Mumbai,Cosmetics,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",5000000,Series B
Pocket FM,2018,Bangalore,FM,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,Rohan Nayak,"Times Group, Lightspeed",5000000,Series A
Jumbotail,2015,Bangalore,Retail,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",11000000,Series B2
Origo,2010,Gurugram,AgriTech,Provider of marketing and warehousing services for agricultural commodities.,"Sunoor Kaul,",Northern Arc Capital,4000000,Debt
GetVantage,2019,Mumbai,FinTech,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts",5000000,Seed
Betterplace,2015,Bangalore,Tech platform,Developer of a digital verification platform designed to manage the semi-formal workforce.,"Saurabh Tandan, Pravin Agarwala",Jungle Ventures,10000000,Series B
Biddano,2016,Mumbai,Healthcare,India's 1st tech-enabled healthcare logistics platform.,Talha Shaikh,Windrose Capital,600000,Pre-series A
InVideo,2017,Mumbai,Video,InVideo enables you to transform your content into great videos.,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India",15000000,Series A
Arzooo,2016,Bangalore,Retail Tech,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",7500000,Series A
Hubilo,2020,"San Francisco, California, United States",Tech company,World’s smartest virtual event platform that brings Experience & Intelligence together,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle",4500000,Seed
BASIC Home Loan,2020,Gurugram,FinTech,"A platform for automating home loans for middle and low-income households in India,",Atul Monga,Picus Capital,5000000,Seed
SUGAR cosmetics,2012,Mumbai,Cosmetics,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,"Kasuhik Mukherjee, Vineeta Singh","A91 Partners, RB Investments Pte. Ltd",2000000,Debt
Tekion,2016,"San Ramon, California",AI startup,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures",150000000,Series C
EzeRx,2018,Kolkata,Medtech,Developer and manufacturer of medical devices,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty",200000,Seed
VitalTech,2018,"Plano, Texas, United States",HeathTech,"VitalTech is a develop technologies that empower patients to better care for their safety,",Anjan Panneer Selvam,Tech Mahindra,3000000,Seed
Ultraviolette Automotive,2014,Bangalore,Automobiles,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,4000000,Series B
Rare Planet,2015,Kolkata,Retail startup,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,400000,Pre-series A
InnAccel,2012,Bangalore,Medtech,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Siraj Dhanani,Mount Judi Ventures,1500000,Pre-series A
HobSpace,2019,Mumbai,Edtech,India's Activity Hub for Kids,"Priya Goel Sheth, Harsh Jain",Artha Venture,200000,Seed
Supplynote,2015,Noida,SaaS startup,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV",500000,Seed
ShopUp,2017,Bangaldesh,E-commerce,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",22000000,Series A
Dukaan,2020,Mumbai,Tech Startup,Developer of an android application designed for businesses to sell online.,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",6000000,Seed
Satyukt,2018,Bangalore,Agri tech,An agritech company that provides business to business (B2B) agricultural data,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",500000,Seed
TREAD,2020,Bangalore,Fitness startup,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",1100000,Pre-seed
Anveshan,2019,Bangalore,FoodTech,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,100000,Pre-seed
TeaMonk,2016,Bangalore,Food & Bevarages,India's Finest Specialty Tea company.,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",900000,Pre-series A
Fleetx,2017,Gurugram,Tech Startup,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat",3000000,Pre-series B
Avataa Me,2014,Bangalore,AR platform,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,Gaurav Baid,Sequoia Capital India,7000000,Series A
Clair,2019,"New York, United States",FinTech,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures",4500000,Seed
Miko,2015,Mumbai,AI startup,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital",3000000,Pre-series B
Razorpay,2014,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India",100000000,Series D
Wow! Momo,2008,Kolkata,Food Industry,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell",5000000,Debt
Pepper Content,2017,Mumbai,Content marketplace,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",4200000,Series A
LIVSPACE,2014,Bangalore,Interior Design,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners",4000000,Debt
Acculi Labs,2017,Bangalore,Healthcare,Acculi Labs is a clinical grade smartphone based diagnostic tool,"HariPrasath M., Rupam Das",Startup Basket.,600000,Seed
Unnati,2017,Noida,AgriTech,A helping hand to the farming community through Artificial Intelligence,"Amit Sinha, Ashok Prasad",NABVENTURES,1700000,Pre-series A
Disprz,2015,Chennai,Edtech,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Kuljit Chadha, Subramanian Viswanathan","Xseed Partners, InnoVen Capital",1600000,Pre-series B
Credit Wise Capital,1994,Mumbai,FinTech,CreditWise Capital is a consumer finance company.,"Hirak Joshi, Aalesh Avlani",Venture Catalysts,6000000,Seed
Chargebee,2011,"San Francisco Bay Area, West Coast, Western US",SaaS startup,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T","Accel, Steadview Capital",55000000,Series F
Ergos,2012,"Samastipur, Bihar",AgriTech,Ergos is building an integrated supply chain by setting up micro warehouses.,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures",5000000,Series A
Krishitantra,2017,Hyderabad,Soil-Tech,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore",1000000,Seed
Monet Networks,2014,"Irvine, California, United States",AI startup,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,Anurag Bist,"SenseAI Ventures, EvoNexus",500000,Bridge
NirogStreet,2016,Gurugram,Ayurveda tech,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ram N Kumar,"Wavemaker Partners, Subho Ray",2000000,Pre-series A
GPS Renewables,2010,Bangalore,Cleantech,To solve the urban waste problem by utilising local technologies and business models.,"Mainak, Sreekrishna","Triodos, Caspian",3000000,Series A
Legal Salah,2015,Kolkata,LegalTech,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,CA Abhinit Singh,I2I Capitals,1000000,Seed
Coralogix,2013,"San Francisco, California, United States",SaaS startup,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners",25000000,Series B
ShipsKart,2018,New Delhi,E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000,Pre-series A
SquadStack,2014,San Francisco,Tech company,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.","Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures",5000000,Series A
Financepeer,2017,Mumbai,EdTech,Financepeer is an AI based peer to peer lending platform.,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture",3000000,Pre-series A
Cashify,2009,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",10000000,Debt
Etrio,2017,Hyderabad,EV startup,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",Deepak MV,HNIs,3000000,Series A
StayQrious,2020,Bangalore,EdTech,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.","Aanand Srinivas, Avinash Anand, Shankar Ram A",Y Combinator,2000000,Seed
Sunstone Eduversity,2014,Gurugram,EdTech,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,"Ashish Munjal, Piyush Nangru",Prime Venture Partners,3000000,Series A
Infilect,2015,Bangalore,SaaS startup,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Anand Prabhu Subramanian, Vijay Gabale","Mela Ventures, 1Crowd",1500000,Pre-series A
Samunnati,2014,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains.,Anil Kumar,"responsAbility, Accel",20000000,Debt
Yummy Corp,2017,"Tangerang, Jawa Barat, Indonesia",Food Industry,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",Mario Suntanu,"Palm Drive Capital, Amatil X Ventures",12000000,Series B
Smallcase,2015,Bangalore,FinTech,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Sequoia Capital India, Blume Ventures",13400000,Series B
Clairvolex,2006,California,Tech Startup,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,Manoj Pillai,"JF Mauritius SPV, IndusAge Partners",2000000,Debt
